name,price,categoryName
"Smart Dress",5799,"Women Fashion"
"Professional Ballpoint Pen",149,"Stationery"
"Smart Leggings",6699,"Women Fashion"
"Heavy Duty Wok",5949,"Cookware"
"Classic Conditioner",1599,"Haircare"
"Advanced Card Game",1499,"Board Games"
"High Performance Cleanser",1799,"Skincare"
"Ultra Robot Toy",1399,"Action Figures"
"Wireless Foam Roller",2599,"Yoga"
"Advanced Air Fryer",34999,"Appliances"
"Eco Friendly Perfume",4849,"Fragrances"
"Dual 3D Puzzle",1499,"Puzzles"
"Dual Football",15549,"Outdoor Sports"
"Heavy Duty Sticky Notes",1699,"Office Supplies"
"Elite Face Mask",4599,"Skincare"
"Ergonomic Science Kit",249,"Educational Toys"
"Premium 1000 Piece Puzzle",1699,"Puzzles"
"Slim Kurti",3399,"Women Fashion"
"Classic Sofa",14099,"Furniture"
"Advanced Charging Cable",1999,"Accessories"
"Fast Kurti",6499,"Women Fashion"
"Smart T-Shirt",699,"Clothing"
"Ergonomic Quilt",6999,"Bedding"
"Ultra Webcomic Collection",1049,"Comics"
"Digital Face Mask",1899,"Skincare"
"Fast Dino Figure",2699,"Action Figures"
"Fast Science Kit",1199,"Educational Toys"
"Classic Cookbook",2299,"Books"
"Smart Self Help Book",1099,"Books"
"Eco Friendly Desk Organiser",599,"Office Supplies"
"Advanced Screen Protector",499,"Accessories"
"Advanced Pliers",5199,"Tools & Hardware"
"Heavy Duty Cleanser",3399,"Skincare"
"Digital 500 Piece Puzzle",1199,"Puzzles"
"Dual Weight Bench",9899,"Gym Equipment"
"Heavy Duty Toy Train",2549,"Toys & Games"
"Pro Iron Box",28799,"Appliances"
"Pro Face Mask",4649,"Skincare"
"Wireless Car Vacuum Cleaner",10149,"Automotive"
"Wireless Philosophy Book",799,"Non-Fiction"
"Premium Organiser Bag",999,"Car Accessories"
"Elite Chromebook",97299,"Laptops"
"Slim Body Lotion",2199,"Beauty & Personal Care"
"Advanced Play Kitchen",6899,"Toys & Games"
"Professional Dungaree",499,"Kids Wear"
"High Performance Travel Guide",1099,"Non-Fiction"
"Ergonomic Romance Novel",399,"Fiction"
"Lite Joggers",1999,"Kids Wear"
"High Performance Kurti",6499,"Women Fashion"
"Digital Doll House",1299,"Toys & Games"
"Portable Badminton Racket",8499,"Outdoor Sports"
"Compact Alphabet Blocks",999,"Educational Toys"
"Smart Sci-Fi Novel",299,"Fiction"
"Advanced Measuring Tape",7399,"Tools & Hardware"
"Fast Thriller Novel",449,"Fiction"
"Premium Air Fryer",25849,"Appliances"
"Ultra Card Game",599,"Board Games"
"Fast Romance Novel",849,"Fiction"
"Eco Friendly Meditation Cushion",399,"Yoga"
"Lite Barbell",12799,"Gym Equipment"
"Ergonomic Formal Shoes",9449,"Footwear"
"Dual Sandals",5299,"Footwear"
"Premium 3D Puzzle",699,"Puzzles"
"Classic Dinner Set",499,"Home & Kitchen"
"Pro Manga Volume",1299,"Comics"
"Slim Yoga Block",1199,"Yoga"
"Ergonomic Foam Puzzle",1799,"Puzzles"
"Digital Eyeshadow Palette",1999,"Makeup"
"Digital Bed Frame",11949,"Furniture"
"Smart Joggers",1999,"Kids Wear"
"Slim Novel",2099,"Books"
"Heavy Duty Mattress Protector",1999,"Bedding"
"Premium Earbuds",32999,"Electronics"
"Advanced Body Lotion",949,"Beauty & Personal Care"
"Dual Pull-up Bar",2199,"Gym Equipment"
"Portable Textbook",2899,"Academic"
"Elite Dictionary",2199,"Books"
"Ergonomic Sleeping Bag",11999,"Outdoor Sports"
"Dual Graphic Novel",1199,"Comics"
"Ergonomic Camera Phone",45399,"Smartphones"
"Classic Romance Novel",899,"Fiction"
"Advanced Android Tablet",11899,"Tablets"
"Slim Room Freshener",10399,"Fragrances"
"Classic Monopoly",1599,"Board Games"
"High Performance Business Notebook",68899,"Laptops"
